Sample in Buffer,Sample in Window,TRIGGER,app_cmd[2:0],app_wdf_data[255:0],app_addr[28:0],app_rd_data[255:0],app_rd_data_reg[255:0],app_en,app_rd_data_end,app_rd_data_valid,app_rdy,app_wdf_end,app_wdf_rdy,app_wdf_wren,ui_clk
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
78,78,0,1,0000000000000000000000000000000000000000000000000000000000000000,000018c0,00ad00ad00ad00ad00ad00ad00ad00ad00ad00ad00ad00ad00ad00ad00ad00ad,00ac00ac00ac00ac00ac00ac00ac00ac00ac00ac00ac00ac00ac00ac00ac00ac,0,1,1,1,0,1,0,1
79,79,0,1,0000000000000000000000000000000000000000000000000000000000000000,000018e0,00ae00ae00ae00ae00ae00ae00ae00ae00ae00ae00ae00ae00ae00ae00ae00ae,00ad00ad00ad00ad00ad00ad00ad00ad00ad00ad00ad00ad00ad00ad00ad00ad,1,1,1,1,0,1,0,1
80,80,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001900,00af00af00af00af00af00af00af00af00af00af00af00af00af00af00af00af,00ae00ae00ae00ae00ae00ae00ae00ae00ae00ae00ae00ae00ae00ae00ae00ae,1,1,1,1,0,1,0,1
81,81,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001920,00b000b000b000b000b000b000b000b000b000b000b000b000b000b000b000b0,00af00af00af00af00af00af00af00af00af00af00af00af00af00af00af00af,1,1,1,1,0,1,0,1
82,82,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001940,00b100b100b100b100b100b100b100b100b100b100b100b100b100b100b100b1,00b000b000b000b000b000b000b000b000b000b000b000b000b000b000b000b0,1,1,1,1,0,1,0,1
83,83,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001960,00b200b200b200b200b200b200b200b200b200b200b200b200b200b200b200b2,00b100b100b100b100b100b100b100b100b100b100b100b100b100b100b100b1,1,1,1,1,0,1,0,1
84,84,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001980,00b300b300b300b300b300b300b300b300b300b300b300b300b300b300b300b3,00b200b200b200b200b200b200b200b200b200b200b200b200b200b200b200b2,1,1,1,1,0,1,0,1
85,85,0,1,0000000000000000000000000000000000000000000000000000000000000000,000019a0,00b400b400b400b400b400b400b400b400b400b400b400b400b400b400b400b4,00b300b300b300b300b300b300b300b300b300b300b300b300b300b300b300b3,1,1,1,1,0,1,0,1
86,86,0,1,0000000000000000000000000000000000000000000000000000000000000000,000019c0,0093009300930093009300930093009300930093009300930093009300930093,00b400b400b400b400b400b400b400b400b400b400b400b400b400b400b400b4,1,1,0,1,0,1,0,1
87,87,0,1,0000000000000000000000000000000000000000000000000000000000000000,000019e0,00b500b500b500b500b500b500b500b500b500b500b500b500b500b500b500b5,00b400b400b400b400b400b400b400b400b400b400b400b400b400b400b400b4,1,1,1,1,0,1,0,1
88,88,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001a00,00b600b600b600b600b600b600b600b600b600b600b600b600b600b600b600b6,00b500b500b500b500b500b500b500b500b500b500b500b500b500b500b500b5,1,1,1,1,0,1,0,1
89,89,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001a20,0095009500950095009500950095009500950095009500950095009500950095,00b600b600b600b600b600b600b600b600b600b600b600b600b600b600b600b6,1,1,0,1,0,1,0,1
90,90,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001a40,0095009500950095009500950095009500950095009500950095009500950095,00b600b600b600b600b600b600b600b600b600b600b600b600b600b600b600b6,1,1,0,1,0,1,0,1
91,91,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001a60,0095009500950095009500950095009500950095009500950095009500950095,00b600b600b600b600b600b600b600b600b600b600b600b600b600b600b600b6,1,1,0,1,0,1,0,1
92,92,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001a80,0095009500950095009500950095009500950095009500950095009500950095,00b600b600b600b600b600b600b600b600b600b600b600b600b600b600b600b6,1,1,0,1,0,1,0,1
93,93,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001aa0,0095009500950095009500950095009500950095009500950095009500950095,00b600b600b600b600b600b600b600b600b600b600b600b600b600b600b600b6,1,1,0,1,0,1,0,1
